,Year,State,Population,Deaths Per 100k,City,# Killed,# Injured,# Victims,Gun Law Rank,Safety Grade,Incident Date
231,2014,Ohio,11602700,13.05,Fremont,3,1,4,24,D,3/9/2014
232,2014,Texas,26964333,12.22,Austin,0,6,6,34,F,3/9/2014
233,2014,California,38596972,7.45,Richmond,1,3,4,1,A,3/8/2014
234,2014,Illinois,12884493,10.78,Chicago,0,6,6,8,A,3/8/2014
235,2014,South Carolina,4823617,17.51,Pelzer,3,1,4,31,F,3/5/2014
236,2014,Pennsylvania,12788313,12.47,Pittsburgh,1,4,5,12,C,3/1/2014
237,2014,Michigan,9929848,12.82,Detroit,0,4,4,19,C,3/1/2014
238,2014,Virginia,8310993,11.76,Glade Spring,4,1,5,26,D,2/25/2014
239,2014,California,38596972,7.45,Wilmington,0,4,4,1,A,2/22/2014
240,2014,Indiana,6593644,14.71,Indianapolis,4,0,4,28,D,2/20/2014
241,2014,California,38596972,7.45,Alturas,4,2,6,1,A,2/20/2014
242,2014,Florida,19845911,12.81,Orlando (Pine Hills),1,6,7,22,C,2/16/2014
243,2014,Texas,26964333,12.22,Dallas,1,7,8,34,F,2/16/2014
244,2014,Indiana,6593644,14.71,Fort Wayne,0,5,5,28,D,2/16/2014
245,2014,Texas,26964333,12.22,Fort Worth,1,4,5,34,F,2/16/2014
246,2014,Florida,19845911,12.81,Jacksonville,1,4,5,22,C,2/16/2014
247,2014,Nevada,2817628,17.84,Las Vegas,0,5,5,15,C,2/15/2014
248,2014,California,38596972,7.45,Stockton,1,3,4,1,A,2/12/2014
249,2014,Indiana,6593644,14.71,Gary,0,5,5,28,D,2/12/2014
250,2014,California,38596972,7.45,Oakland,1,3,4,1,A,2/12/2014
251,2014,Florida,19845911,12.81,Miami,0,5,5,22,C,2/7/2014
252,2014,Louisiana,4644013,21.31,New Orleans,0,4,4,32,F,2/6/2014
253,2014,Illinois,12884493,10.78,Chicago,1,3,4,8,A,2/5/2014
254,2014,Indiana,6593644,14.71,Franklin,3,2,5,28,D,2/3/2014
255,2014,North Carolina,9932887,13.26,Rocky Mount,0,4,4,24,D,1/27/2014
256,2014,Washington,7054655,10.32,Seattle,1,4,5,10,B,1/27/2014
257,2014,Illinois,12884493,10.78,Chicago,1,4,5,8,A,1/25/2014
258,2014,Florida,19845911,12.81,Belle Glade,0,4,4,22,C,1/25/2014
259,2014,New Jersey,8864525,4.75,Newark,2,3,5,2,A,1/21/2014
260,2014,Virginia,8310993,11.76,Manassas,0,4,4,26,D,1/20/2014
261,2014,Oklahoma,3878187,16.71,Ardmore,2,4,6,40,F,1/16/2014
262,2014,Utah,2936879,13.14,Spanish Fork,5,0,5,27,D,1/16/2014
263,2014,California,38596972,7.45,Los Angeles,0,4,4,1,A,1/14/2014
264,2014,Michigan,9929848,12.82,Detroit,0,4,4,19,C,1/13/2014
265,2014,Illinois,12884493,10.78,Elgin,0,5,5,8,A,1/12/2014
266,2014,Louisiana,4644013,21.31,Tallulah,0,6,6,32,F,1/12/2014
267,2014,Alabama,4841799,21.7,Huntsville,0,5,5,38,F,1/12/2014
268,2014,Mississippi,2990468,22.81,Jackson,0,4,4,50,F,1/11/2014
269,2014,Pennsylvania,12788313,12.47,Erie,1,3,4,12,C,1/5/2014
270,2014,New York,19651049,4.03,Queens,1,3,4,4,A,1/3/2014
271,2014,Virginia,8310993,11.76,Norfolk,2,2,4,26,D,1/1/2014
272,2017,Colorado,5611885,15.14,Littleton (Highlands Ranch),2,6,8,14,C,12/31/2017
273,2017,Illinois,12778828,10.78,Chicago,0,4,4,8,A,12/31/2017
274,2017,New Jersey,8885525,4.75,Long Branch,4,0,4,2,A,12/31/2017
275,2017,Nevada,2969905,17.84,Las Vegas,2,2,4,15,C,12/27/2017
276,2017,Florida,20963613,12.81,Miami,0,5,5,22,C,12/26/2017
277,2017,Mississippi,2988510,22.81,Vicksburg,0,5,5,50,F,12/24/2017
278,2017,Alabama,4874486,21.7,Troy,1,4,5,38,F,12/24/2017
279,2017,Louisiana,4670560,21.31,Eunice,1,3,4,32,F,12/23/2017
280,2017,Alabama,4874486,21.7,Birmingham,0,4,4,38,F,12/23/2017
281,2017,Pennsylvania,12787641,12.47,Philadelphia,1,3,4,12,C,12/21/2017
282,2017,Louisiana,4670560,21.31,Lafayette,0,4,4,32,F,12/21/2017
283,2017,Mississippi,2988510,22.81,Mc Cool (Mccool),0,4,4,50,F,12/16/2017
284,2017,California,39358497,7.45,Pacoima,0,5,5,1,A,12/15/2017
285,2017,Ohio,11659650,13.05,Columbus,1,3,4,24,D,12/13/2017
286,2017,Kentucky,4452268,16.81,Louisville,0,4,4,46,F,12/12/2017
287,2017,Texas,28295273,12.22,Garland,0,4,4,34,F,12/12/2017
288,2017,Massachusetts,6859789,3.46,Boston,0,4,4,7,A,12/9/2017
289,2017,Illinois,12778828,10.78,Chicago,0,4,4,8,A,12/6/2017
290,2017,Pennsylvania,12787641,12.47,Pittsburgh,2,2,4,12,C,12/4/2017
291,2017,Tennessee,6708799,17.82,Memphis,1,3,4,29,D,12/3/2017
292,2017,Michigan,9973114,12.82,Detroit,0,4,4,19,C,12/2/2017
293,2017,Michigan,9973114,12.82,Detroit,1,4,5,19,C,11/30/2017
294,2017,Mississippi,2988510,22.81,Brookhaven,1,6,7,50,F,11/24/2017
295,2017,Ohio,11659650,13.05,Cleveland,1,5,6,24,D,11/24/2017
296,2017,Minnesota,5566230,7.79,Minneapolis,0,4,4,13,C,11/18/2017
297,2017,Louisiana,4670560,21.31,New Iberia,0,4,4,32,F,11/17/2017
298,2017,Georgia,10410330,15.72,Columbus,0,7,7,32,F,11/16/2017
299,2017,California,39358497,7.45,Richmond,2,2,4,1,A,11/14/2017
300,2017,California,39358497,7.45,Corning,6,12,18,1,A,11/14/2017
301,2017,Indiana,6658078,14.71,Gary,0,7,7,28,D,11/12/2017
302,2017,California,39358497,7.45,Fresno,0,5,5,1,A,11/12/2017
